Date,Open,High,Low,Close,Adj Close,Volume,company
2023-07-20,137.190002,140.320007,136.559998,138.380005,132.731827,10896300,IBM
2023-07-21,138.210007,139.779999,137.759995,138.940002,133.268951,5858600,IBM
2023-07-24,139.350006,140.119995,138.779999,139.539993,133.844467,3475200,IBM
2023-07-25,139.419998,140.429993,139.039993,140.330002,134.602219,3770800,IBM
2023-07-26,140.440002,141.25,139.880005,141.070007,135.312027,4046400,IBM
2023-07-27,142.300003,143.380005,141.899994,142.970001,137.134476,6331600,IBM
2023-07-28,143.440002,143.949997,142.850006,143.449997,137.594864,6686400,IBM
2023-07-31,143.809998,144.600006,143.529999,144.179993,138.29509,6138100,IBM
2023-08-01,144.25,144.479996,142.169998,143.330002,137.479767,4797700,IBM
2023-08-02,142.779999,144.300003,142.309998,144.169998,138.285492,4957400,IBM
2023-08-03,143.779999,145.220001,143.309998,144.449997,138.554047,3951900,IBM
2023-08-04,145.089996,146.089996,143.990005,144.240005,138.352646,4223100,IBM
2023-08-07,145.0,146.5,144.929993,146.179993,140.213455,3438700,IBM
2023-08-08,145.699997,146.149994,144.110001,145.910004,139.954468,4654600,IBM
2023-08-09,144.940002,144.940002,142.300003,142.490005,138.246887,4072900,IBM
2023-08-10,143.039993,144.580002,142.690002,143.25,138.984238,4735800,IBM
2023-08-11,143.119995,143.449997,142.210007,143.119995,138.858124,2526000,IBM
2023-08-14,143.050003,143.369995,141.800003,141.910004,137.684158,4226400,IBM
2023-08-15,141.5,142.309998,141.199997,141.869995,137.645325,3656600,IBM
2023-08-16,141.699997,142.089996,140.559998,140.639999,136.451965,3285300,IBM
2023-08-17,141.009995,142.660004,140.600006,140.660004,136.471375,3742100,IBM
2023-08-18,140.0,141.830002,139.759995,141.410004,137.199036,3914700,IBM
2023-08-21,141.419998,142.389999,141.110001,142.279999,138.043121,2937800,IBM
2023-08-22,142.660004,143.229996,141.300003,141.490005,137.276642,3557500,IBM
2023-08-23,141.720001,143.479996,141.580002,143.410004,139.139465,2559100,IBM
2023-08-24,143.509995,144.470001,143.220001,143.550003,139.275314,2900200,IBM
2023-08-25,144.179993,145.470001,143.5,145.350006,141.021729,3660100,IBM
2023-08-28,145.410004,146.740005,145.210007,146.020004,141.671753,3561100,IBM
