,Date,Open,High,Low,Close,Adj Close,Volume,environment_negative_percentage,government_negative_percentage,neutral_negative_percentage,social_negative_percentage,environment_positive_percentage,government_positive_percentage,neutral_positive_percentage,social_positive_percentage
200,2024-07-03,27.92,28.049999,27.620001,27.700001,27.314514,15180100,,,,0.0,,,,100.0
201,2024-07-05,27.76,28.09,27.67,28.049999,27.659641,17268700,,,,100.0,,,,0.0
202,2024-07-08,28.049999,28.120001,27.790001,27.93,27.541313,25694400,0.0,100.0,,,100.0,0.0,,
203,2024-07-09,27.879999,27.940001,27.299999,27.719999,27.334234,36867800,50.0,66.66666666666666,,100.0,50.0,33.33333333333333,,0.0
204,2024-07-10,27.83,28.41,27.799999,28.35,27.955467,29873600,,,0.0,0.0,,,100.0,100.0
205,2024-07-11,28.780001,29.23,28.42,28.66,28.261152,47322600,,100.0,0.0,37.5,,0.0,100.0,62.5
206,2024-07-12,28.9,29.139999,28.790001,28.92,28.517534,28397000,,75.0,,25.0,,25.0,,75.0
207,2024-07-15,29.030001,29.27,28.83,29.1,28.69503,30534400,100.0,,,66.66666666666666,0.0,,,33.33333333333333
208,2024-07-16,29.200001,29.559999,29.120001,29.5,29.089464,26912100,,85.71428571428571,,33.33333333333333,,14.285714285714285,,66.66666666666666
209,2024-07-17,29.42,30.299999,29.309999,30.030001,29.612089,45395000,0.0,,,100.0,100.0,,,0.0
210,2024-07-18,29.91,30.690001,29.629999,29.709999,29.296539,47279700,50.0,,,25.0,50.0,,,75.0
211,2024-07-19,29.940001,30.0,29.549999,29.969999,29.552921,30021200,,100.0,100.0,100.0,,0.0,0.0,0.0
212,2024-07-22,30.110001,30.23,29.379999,29.6,29.188072,46483200,100.0,,100.0,75.0,0.0,,0.0,25.0
213,2024-07-23,29.620001,29.639999,29.33,29.5,29.089464,25528300,,0.0,0.0,0.0,,100.0,100.0,100.0
214,2024-07-24,29.51,29.99,29.309999,29.98,29.562782,29579400,,,0.0,,,,100.0,
215,2024-07-25,29.969999,30.93,29.969999,30.18,29.76,42296200,,,0.0,50.0,,,100.0,50.0
216,2024-07-26,30.15,30.879999,30.01,30.77,30.77,35657100,,,,100.0,,,,0.0
217,2024-07-29,30.690001,30.93,30.440001,30.719999,30.719999,41713700,,,100.0,,,,0.0,
218,2024-07-30,31.01,31.540001,29.780001,31.389999,31.389999,89857500,,50.0,,100.0,,50.0,,0.0
219,2024-07-31,31.200001,31.26,30.469999,30.540001,30.540001,40978700,0.0,0.0,,,100.0,100.0,,
220,2024-08-01,30.719999,30.809999,29.91,30.65,30.65,39753100,100.0,100.0,,66.66666666666666,0.0,0.0,,33.33333333333333
221,2024-08-02,30.879999,31.32,30.01,30.43,30.43,42364700,,0.0,100.0,0.0,,100.0,0.0,100.0
