Date,Open,High,Low,Close,Adj Close,Volume,environment_negative_percentage,government_negative_percentage,neutral_negative_percentage,social_negative_percentage,environment_positive_percentage,government_positive_percentage,neutral_positive_percentage,social_positive_percentage
2023-08-28,242.580002,244.380005,235.350006,238.820007,238.820007,107673700,,,,100.0,,,,0.0
2023-08-30,254.199997,260.51001,250.589996,256.899994,256.899994,121988400,,,100.0,0.0,,,0.0,100.0
2023-09-01,257.26001,259.079987,242.009995,245.009995,245.009995,132272500,0.0,,,,100.0,,,
2023-09-07,245.070007,252.809998,243.270004,251.490005,251.490005,115312900,,,,0.0,,,,100.0
2023-09-08,251.220001,256.519989,246.669998,248.5,248.5,118367700,0.0,,,,100.0,,,
2023-09-13,270.070007,274.980011,268.100006,271.299988,271.299988,111673700,,,,100.0,,,,0.0
2023-09-14,271.320007,276.709991,270.420013,276.040009,276.040009,107709800,,,0.0,,,,100.0,
2023-10-12,262.920013,265.410004,256.630005,258.869995,258.869995,111508100,,,,100.0,,,,0.0
2023-10-23,210.0,216.979996,202.509995,212.080002,212.080002,150683400,,100.0,,,,0.0,,
2023-10-31,196.119995,202.800003,194.070007,200.839996,200.839996,118068300,,0.0,,,,100.0,,
2023-11-03,221.149994,226.369995,218.399994,219.960007,219.960007,119281000,,,,100.0,,,,0.0
2023-12-01,233.139999,240.190002,231.899994,238.830002,238.830002,121173500,,,0.0,,,,100.0,
2023-12-13,234.190002,240.300003,228.199997,239.289993,239.289993,146286300,,100.0,,50.0,,0.0,,50.0
2023-12-19,253.479996,258.339996,253.009995,257.220001,257.220001,106737400,,100.0,,,,0.0,,
2023-12-20,256.410004,259.839996,247.0,247.139999,247.139999,125097000,,,,100.0,,,,0.0
2024-01-02,250.080002,251.25,244.410004,248.419998,248.419998,104654200,,,,0.0,,,,100.0
2024-01-03,244.979996,245.679993,236.320007,238.449997,238.449997,121082600,,0.0,,,,100.0,,
2024-01-05,236.860001,240.119995,234.899994,237.490005,237.490005,92379400,0.0,,,,100.0,,,
2024-01-12,220.080002,225.339996,217.149994,218.889999,218.889999,122889000,,100.0,,100.0,,0.0,,0.0
2024-01-24,211.880005,212.729996,206.770004,207.830002,207.830002,123369900,0.0,100.0,,,100.0,0.0,,
2024-01-26,185.5,186.779999,182.100006,183.25,183.25,107343200,,,,100.0,,,,0.0
2024-01-31,187.0,193.970001,185.850006,187.289993,187.289993,103221400,,100.0,,,,0.0,,
2024-02-13,183.990005,187.259995,182.110001,184.020004,184.020004,86759500,,,,100.0,,,,0.0
2024-03-05,183.050003,184.589996,177.570007,180.740005,180.740005,119660800,,100.0,,,,0.0,,
2024-03-06,179.990005,181.580002,173.699997,176.539993,176.539993,107920900,,,0.0,,,,100.0,
2024-03-07,174.350006,180.039993,173.699997,178.649994,178.649994,102129000,,,,0.0,,,,100.0
2024-03-11,175.449997,182.869995,174.800003,177.770004,177.770004,85391500,,,,0.0,,,,100.0
2024-03-21,176.389999,178.179993,171.800003,172.820007,172.820007,73178000,,,,100.0,,,,0.0
2024-03-28,177.449997,179.570007,175.300003,175.789993,175.789993,77654800,,,,0.0,,,,100.0
2024-04-01,176.169998,176.75,170.210007,175.220001,175.220001,81562100,,,,100.0,,,,0.0
2024-04-02,164.75,167.690002,163.429993,166.630005,166.630005,116650600,100.0,,,100.0,0.0,,,0.0
2024-04-03,164.020004,168.820007,163.279999,168.380005,168.380005,82950100,,,,100.0,,,,0.0
2024-04-05,169.080002,170.860001,160.509995,164.899994,164.899994,141250700,,100.0,,,,0.0,,
2024-04-15,170.240005,170.690002,161.380005,161.479996,161.479996,100245300,,,,100.0,,,,0.0
2024-04-16,156.740005,158.190002,153.75,157.110001,157.110001,97000000,,,,100.0,,,,0.0
2024-04-17,157.639999,158.330002,153.779999,155.449997,155.449997,82439700,,,,100.0,,,,0.0
2024-04-22,140.559998,144.440002,138.800003,142.050003,142.050003,107097600,,,,100.0,,,,0.0
2024-04-23,143.330002,147.259995,141.110001,144.679993,144.679993,124545100,,,50.0,0.0,,,50.0,100.0
2024-04-24,162.839996,167.970001,157.509995,162.130005,162.130005,181178000,,,100.0,,,,0.0,
2024-04-26,168.850006,172.119995,166.369995,168.289993,168.289993,109815700,,100.0,,0.0,,0.0,,100.0
2024-04-29,188.419998,198.869995,184.539993,194.050003,194.050003,243869700,,,,50.0,,,,50.0
2024-04-30,186.979996,190.949997,182.839996,183.279999,183.279999,127031800,,,,100.0,,,,0.0
2024-05-02,182.860001,184.600006,176.020004,180.009995,180.009995,89148000,100.0,,,100.0,0.0,,,0.0
2024-05-07,182.399994,183.259995,177.399994,177.809998,177.809998,75045900,,100.0,,,,0.0,,
2024-05-08,171.589996,176.059998,170.149994,174.720001,174.720001,79969500,,100.0,,,,0.0,,
